name,completename,comment
"A206 - Laboratório de Ensino - Química Orgânica e Bioquímica","IFF CAMPUS_SVS > DE > A206 - Laboratório de Ensino - Química Orgânica e Bioquímica",NULL
"A207 - Laboratório de Ensino - Química Geral e Inorgânica","IFF CAMPUS_SVS > DE > A207 - Laboratório de Ensino - Química Geral e Inorgânica",NULL
"A208 - Laboratório de Ensino - Química Analítica","IFF CAMPUS_SVS > DE > A208 - Laboratório de Ensino - Química Analítica",NULL
"A209 - Laboratoristas Química","IFF CAMPUS_SVS > DE > A209 - Laboratoristas Química",NULL
"A210 - Coord. Licenc. em Química","IFF CAMPUS_SVS > DE > A210 - Coord. Licenc. em Química",
"B-APO001 - Sala de apoio","IFF CAMPUS_SVS > DE > B-APO001 - Sala de apoio",
"B-APO002 - Sala de apoio","IFF CAMPUS_SVS > DE > B-APO002 - Sala de apoio",
"B-Maq001 - Sala elevador","IFF CAMPUS_SVS > DE > B-Maq001 - Sala elevador",
"B001 - Sala de Aula","IFF CAMPUS_SVS > DE > B001 - Sala de Aula",NULL
"B002 - Sala de Aula","IFF CAMPUS_SVS > DE > B002 - Sala de Aula",NULL
"B003 - Sala de Aula","IFF CAMPUS_SVS > DE > B003 - Sala de Aula",NULL
"B004 - Sala de Aula","IFF CAMPUS_SVS > DE > B004 - Sala de Aula",NULL
"B005 - Sala de Aula","IFF CAMPUS_SVS > DE > B005 - Sala de Aula",NULL
"B006 - Sala de Aula","IFF CAMPUS_SVS > DE > B006 - Sala de Aula",NULL
"B007 - Sala de Aula","IFF CAMPUS_SVS > DE > B007 - Sala de Aula",NULL
"B008 - Sala de Aula","IFF CAMPUS_SVS > DE > B008 - Sala de Aula",NULL
"B009 - Sala do Gremio","IFF CAMPUS_SVS > DE > B009 - Sala do Gremio",
"B101 - Sala de Aula","IFF CAMPUS_SVS > DE > B101 - Sala de Aula",NULL
"B102 - Sala de Aula","IFF CAMPUS_SVS > DE > B102 - Sala de Aula",NULL
"B103 - Sala de Aula","IFF CAMPUS_SVS > DE > B103 - Sala de Aula",NULL
"B104 - Sala de Aula","IFF CAMPUS_SVS > DE > B104 - Sala de Aula",NULL
"B105 - Sala de Aula","IFF CAMPUS_SVS > DE > B105 - Sala de Aula",NULL
"B106 - Sala de Aula","IFF CAMPUS_SVS > DE > B106 - Sala de Aula",NULL
"B107 - Sala de Aula","IFF CAMPUS_SVS > DE > B107 - Sala de Aula",NULL
